Tahun,Skenario_Ekonomi,Kecamatan,Kelurahan,Jumlah_Penduduk,Kepadatan_Penduduk,Persentase_Usia_Produktif,Rata_Rata_Pendapatan,Jumlah_UMKM_Kuliner,Jumlah_UMKM_Jasa,Jumlah_UMKM_Retail,Jumlah_Coffee_Shop,Jumlah_Laundry,Jumlah_Sekolah_Kampus,Jumlah_Fasilitas_Kesehatan,Jumlah_Bank_ATM,Skor_Aksesibilitas,Indeks_Harga_Properti,Volume_Lalu_Lintas_Harian,Latitude,Longitude
2023,Normal,Banjarsari,Kadipiro,28654,4860,63.67,6268307,91,70,50,38,28,2,6,1,8,93,3433,-7.537829169154024,110.82219269708852
2023,Normal,Banjarsari,Nusukan,10311,10420,72.35,3603355,77,31,118,48,63,9,12,15,3,93,2267,-7.552098570478707,110.82538622043897
2023,Normal,Banjarsari,Gilingan,22912,7556,72.15,5870690,40,82,196,17,8,24,12,13,2,58,24897,-7.550271208909605,110.82015186410084
2023,Normal,Banjarsari,Setabelan,7612,19787,69.9,5325665,194,44,235,16,40,17,8,3,2,55,44573,-7.56951180938846,110.82341280023529
2023,Normal,Banjarsari,Kestalan,18417,11989,60.63,4863715,165,99,73,33,66,3,14,15,8,63,26851,-7.563096003994509,110.82894296360243
2023,Normal,Banjarsari,Keprabon,6016,12529,70.79,4507293,43,35,246,44,45,14,13,0,9,56,3568,-7.570572970824445,110.8283794037442
2023,Normal,Banjarsari,Timuran,26847,6027,65.87,5004384,82,20,110,7,39,2,1,4,7,90,23662,-7.565439153186584,110.82060485830542
2023,Normal,Banjarsari,Ketelan,13392,17067,66.62,4579111,67,32,91,23,41,2,12,7,6,76,43530,-7.565225814843317,110.82269318244283
2023,Normal,Banjarsari,Punggawan,10056,18948,79.43,3991234,150,10,34,25,18,6,11,8,3,81,42523,-7.563727886647368,110.82135591471258
2023,Normal,Banjarsari,Mangkubumen,26500,18820,64.99,6756415,162,52,58,35,17,6,11,18,6,77,44585,-7.5664990505152545,110.82408616482473
2023,Normal,Banjarsari,Banyuanyar,15921,13789,72.67,5661196,153,37,57,43,48,19,14,10,7,77,22976,-7.571272911292097,110.82825494974281
2023,Normal,Banjarsari,Sumber,16494,5306,68.54,5984413,135,86,32,38,31,8,14,4,1,91,1663,-7.571089495605705,110.82739183628851
2023,Normal,Banjarsari,Banjarsari,6998,21879,74.06,4884250,132,71,215,11,43,1,3,16,5,98,28728,-7.570339998315244,110.82142129296341
2023,Normal,Banjarsari,Joglo,22082,8737,68.22,4313168,106,10,176,1,57,11,10,5,7,53,33970,-7.565020976864375,110.82215395944547
2023,Normal,Banjarsari,Manahan,16447,16688,74.56,4929626,43,78,145,33,15,15,1,8,6,65,16708,-7.570952928207604,110.82738765767957
2023,Normal,Banjarsari,Kepatihan Kulon,22043,18243,60.33,6779611,166,29,125,6,56,8,1,7,7,67,12111,-7.562768825301257,110.82630251114021
2023,Normal,Banjarsari,Kepatihan Wetan,9736,12120,62.27,4556731,170,40,71,34,11,15,10,15,9,98,3049,-7.570770483535282,110.82453903997686
2023,Normal,Jebres,Jebres,10423,11158,66.78,5972189,118,28,77,15,7,19,8,0,8,60,33711,-7.558303398090136,110.85080599179422
2023,Normal,Jebres,Mojosongo,10539,19586,67.45,4001157,118,34,122,17,58,2,13,8,4,82,39467,-7.539079112127258,110.83940040632999
2023,Normal,Jebres,Pucangsawit,28328,7987,67.33,6633837,155,16,224,16,37,15,12,18,6,71,7893,-7.565556905111892,110.82551160068162
2023,Normal,Jebres,Jagalan,23077,18565,67.86,5021701,27,36,56,33,25,0,12,14,1,54,28643,-7.567467079065704,110.82641605762119
2023,Normal,Jebres,Sewu,12996,16946,71.44,4229903,68,26,201,27,34,13,5,5,3,90,34828,-7.565903924250241,110.82222709692229
2023,Normal,Jebres,Gandekan,23711,4301,79.33,6387004,118,69,145,20,36,22,1,2,2,74,33745,-7.565730916618624,110.82556180453855
2023,Normal,Jebres,Sudiroprajan,27238,4569,78.6,5489173,193,33,143,31,51,21,7,1,2,75,1784,-7.5643332100597105,110.8231027870032
2023,Normal,Jebres,Tegalharjo,13096,16533,67.19,4941578,189,35,128,49,29,23,13,6,9,85,5780,-7.56701231958649,110.82555538241752
2023,Normal,Jebres,Purwodiningratan,7368,10655,67.94,6199015,161,85,144,22,19,1,2,18,9,71,32289,-7.567338594994412,110.82491858915597
2023,Normal,Jebres,Kepatihan,28893,13907,60.78,4579600,34,63,217,36,12,20,12,11,5,88,22699,-7.567231890661616,110.827643580015
2023,Normal,Laweyan,Laweyan,26253,8142,73.99,3689407,187,61,173,12,34,18,1,18,7,75,26316,-7.56324057694688,110.82609758482418
2023,Normal,Laweyan,Pajang,13308,5150,73.92,6913821,148,67,151,0,38,21,9,7,5,50,4343,-7.570403639996591,110.7872312162613
2023,Normal,Laweyan,Sondekan,18500,13662,68.71,6043590,112,76,105,25,20,18,5,13,5,96,14296,-7.568348570416174,110.82554580834034
2023,Normal,Laweyan,Karangasem,23525,15151,61.96,3578781,195,94,68,35,37,4,7,9,6,54,32843,-7.5670066980143895,110.82086442489367
2023,Normal,Laweyan,Jajar,7849,11390,60.31,4150419,166,67,125,0,8,15,8,15,7,51,30168,-7.565138432299332,110.82230675665527
2023,Normal,Laweyan,Kerten,21347,4851,71.51,6998879,197,44,153,32,37,18,11,4,3,50,39304,-7.56546291184081,110.82378683461845
2023,Normal,Laweyan,Penumping,18479,21450,63.92,3831593,160,21,124,45,6,18,2,2,7,66,29761,-7.568271821691133,110.8236846427545
2023,Normal,Laweyan,Sriwedari,28132,19305,60.47,4138873,181,16,225,49,33,23,4,3,5,58,36735,-7.570128832455269,110.8261678463268
2023,Normal,Laweyan,Purwosari,19527,20048,74.63,6632130,55,91,125,23,27,4,12,16,7,62,44286,-7.558522936654344,110.80534522594358
